word,type,note,url,sefaria_ref
τετράγωνον,Greek,"Greek τετράγωνον. He holds that the tablets were cubes, top and bottom empty and identical writing on each of the faces.",https://chavrutai.com/yerushalmi/Shekalim/6#1-14,Jerusalem_Talmud_Shekalim.6.1.14
γλωσσοκομε̅ι̅ον,Greek,"Greek γλωσσοκομε̅ι̅ον, τό.",https://chavrutai.com/yerushalmi/Shekalim/6#1-15,Jerusalem_Talmud_Shekalim.6.1.15
τό,Greek,"Greek γλωσσοκομε̅ι̅ον, τό.",https://chavrutai.com/yerushalmi/Shekalim/6#1-15,Jerusalem_Talmud_Shekalim.6.1.15
liburna,Latin,Latin liburna,https://chavrutai.com/yerushalmi/Shekalim/6#2-3,Jerusalem_Talmud_Shekalim.6.2.3
καταφερής,Greek,"Greek καταφερής, -ές adj",https://chavrutai.com/yerushalmi/Shekalim/6#2-3,Jerusalem_Talmud_Shekalim.6.2.3
ές,Greek,"Greek καταφερής, -ές adj",https://chavrutai.com/yerushalmi/Shekalim/6#2-3,Jerusalem_Talmud_Shekalim.6.2.3
trutina,Latin,Latin trutina,https://chavrutai.com/yerushalmi/Shekalim/6#4-4,Jerusalem_Talmud_Shekalim.6.4.4
κοχλίας,Greek,"Greek κοχλίας, “snail with a spiral shell”. If the horns are arranged almost in a circle, the box for new sheqalim",https://chavrutai.com/yerushalmi/Shekalim/7#1-2,Jerusalem_Talmud_Shekalim.7.1.2
πλατεῑα,Greek,"Greek πλατεῑα (sc. ‘οδός) “a wide (road)”. On a thoroughfare the traffic is not local; even if all local shops are kosher, the majority of travelers come from places which are not kosher, and meat found there automatically is forbidden.",https://chavrutai.com/yerushalmi/Shekalim/7#2-6,Jerusalem_Talmud_Shekalim.7.2.6
οδός,Greek,"Greek πλατεῑα (sc. ‘οδός) “a wide (road)”. On a thoroughfare the traffic is not local; even if all local shops are kosher, the majority of travelers come from places which are not kosher, and meat found there automatically is forbidden.",https://chavrutai.com/yerushalmi/Shekalim/7#2-6,Jerusalem_Talmud_Shekalim.7.2.6
macellum,Latin,Latin macellum,https://chavrutai.com/yerushalmi/Shekalim/7#2-6,Jerusalem_Talmud_Shekalim.7.2.6
προσώπον,Greek,"Greek προσώπον, τό. The scribe originally wrote correctly פרוסיף.",https://chavrutai.com/yerushalmi/Shekalim/8#2-3,Jerusalem_Talmud_Shekalim.8.2.3
τό,Greek,"Greek προσώπον, τό. The scribe originally wrote correctly פרוסיף.",https://chavrutai.com/yerushalmi/Shekalim/8#2-3,Jerusalem_Talmud_Shekalim.8.2.3
πάρεδρος,Greek,"In the Halakhah the name also appears as פלהדרין with change of liquids. Possibly derived from πάρεδρος, ὁ, “adjunct”; cf. Note 113.",https://chavrutai.com/yerushalmi/Yoma/1#1-1,Jerusalem_Talmud_Yoma.1.1.1
ὁ,Greek,"In the Halakhah the name also appears as פלהדרין with change of liquids. Possibly derived from πάρεδρος, ὁ, “adjunct”; cf. Note 113.",https://chavrutai.com/yerushalmi/Yoma/1#1-1,Jerusalem_Talmud_Yoma.1.1.1
πάρεδρος,Greek,"In the Halakhah the name also appears as פלהדרין with change of liquids. Possibly derived from πάρεδρος, ὁ, “adjunct”; cf. Note 113.",https://chavrutai.com/yerushalmi/Yoma/1#1-19,Jerusalem_Talmud_Yoma.1.1.19
ὁ,Greek,"In the Halakhah the name also appears as פלהדרין with change of liquids. Possibly derived from πάρεδρος, ὁ, “adjunct”; cf. Note 113.",https://chavrutai.com/yerushalmi/Yoma/1#1-19,Jerusalem_Talmud_Yoma.1.1.19
βουλευταί,Greek,"Greek βουλευταί, ὁι. Since under Persian rule the High Priest also was the political head of the commonwealth, it is reasonable to assume that during his stay at the lodge also the council meetings were held there. Babli 8b.",https://chavrutai.com/yerushalmi/Yoma/1#1-19,Jerusalem_Talmud_Yoma.1.1.19
ὁι,Greek,"Greek βουλευταί, ὁι. Since under Persian rule the High Priest also was the political head of the commonwealth, it is reasonable to assume that during his stay at the lodge also the council meetings were held there. Babli 8b.",https://chavrutai.com/yerushalmi/Yoma/1#1-19,Jerusalem_Talmud_Yoma.1.1.19
suetum,Latin,Latin suetum,https://chavrutai.com/yerushalmi/Yoma/1#1-20,Jerusalem_Talmud_Yoma.1.1.20
βουλή,Greek,"Greek βουλή, ἡ.",https://chavrutai.com/yerushalmi/Yoma/1#2-4,Jerusalem_Talmud_Yoma.1.2.4
ἡ,Greek,"Greek βουλή, ἡ.",https://chavrutai.com/yerushalmi/Yoma/1#2-4,Jerusalem_Talmud_Yoma.1.2.4
στρατήγιον,Greek,"Greek στρατήγιον, τό, “the general’s tent”, the rural district under the direct command of the local military commander, not under the authority of the city council.",https://chavrutai.com/yerushalmi/Yoma/1#2-4,Jerusalem_Talmud_Yoma.1.2.4
τό,Greek,"Greek στρατήγιον, τό, “the general’s tent”, the rural district under the direct command of the local military commander, not under the authority of the city council.",https://chavrutai.com/yerushalmi/Yoma/1#2-4,Jerusalem_Talmud_Yoma.1.2.4
κοχλίας,Greek,"Greek κοχλίας “snail with a spiral shell”. Since the row of Cohanim was “snailing”, the overseer could not determine the exact number of those present. Babli 25a.",https://chavrutai.com/yerushalmi/Yoma/2#1-16,Jerusalem_Talmud_Yoma.2.1.16
pompa,Latin,"Latin pompa,",https://chavrutai.com/yerushalmi/Yoma/2#1-18,Jerusalem_Talmud_Yoma.2.1.18
pompa,Latin,"Latin pompa,",https://chavrutai.com/yerushalmi/Yoma/2#2-1,Jerusalem_Talmud_Yoma.2.2.1
δήλωμα,Greek,Greek δήλωμα.,https://chavrutai.com/yerushalmi/Yoma/3#2-5,Jerusalem_Talmud_Yoma.3.2.5
ἀσθενής,Greek,Greek ἀσθενής.,https://chavrutai.com/yerushalmi/Yoma/3#5-1,Jerusalem_Talmud_Yoma.3.5.1
καλόω,Greek,A Semitic adaptation of Greek καλόω.,https://chavrutai.com/yerushalmi/Yoma/3#5-3,Jerusalem_Talmud_Yoma.3.5.3
κάλπη,Greek,Greek κάλπη.,https://chavrutai.com/yerushalmi/Yoma/3#7-1,Jerusalem_Talmud_Yoma.3.7.1
κάλπη,Greek,Greek κάλπη.,https://chavrutai.com/yerushalmi/Yoma/3#8-4,Jerusalem_Talmud_Yoma.3.8.4
κόγχη,Greek,"This translation is traditional; it is pure speculation. More likely is “a lamp (?) in shell form,” Aramaic diminutive of Greek κόγχη, ἡ “mussel”.",https://chavrutai.com/yerushalmi/Yoma/3#8-7,Jerusalem_Talmud_Yoma.3.8.7
ἡ,Greek,"This translation is traditional; it is pure speculation. More likely is “a lamp (?) in shell form,” Aramaic diminutive of Greek κόγχη, ἡ “mussel”.",https://chavrutai.com/yerushalmi/Yoma/3#8-7,Jerusalem_Talmud_Yoma.3.8.7
λαμπάς,Greek,"Genitive of λαμπάς, -άδος, ἡ, “torch”. This is the translation of the Theodotion version of the LXX of Dan.",https://chavrutai.com/yerushalmi/Yoma/3#8-7,Jerusalem_Talmud_Yoma.3.8.7
άδος,Greek,"Genitive of λαμπάς, -άδος, ἡ, “torch”. This is the translation of the Theodotion version of the LXX of Dan.",https://chavrutai.com/yerushalmi/Yoma/3#8-7,Jerusalem_Talmud_Yoma.3.8.7
ἡ,Greek,"Genitive of λαμπάς, -άδος, ἡ, “torch”. This is the translation of the Theodotion version of the LXX of Dan.",https://chavrutai.com/yerushalmi/Yoma/3#8-7,Jerusalem_Talmud_Yoma.3.8.7
λιμήν,Greek,"Greek λιμήν, -ένες, ὁ.",https://chavrutai.com/yerushalmi/Yoma/3#8-9,Jerusalem_Talmud_Yoma.3.8.9
ένες,Greek,"Greek λιμήν, -ένες, ὁ.",https://chavrutai.com/yerushalmi/Yoma/3#8-9,Jerusalem_Talmud_Yoma.3.8.9
ὁ,Greek,"Greek λιμήν, -ένες, ὁ.",https://chavrutai.com/yerushalmi/Yoma/3#8-9,Jerusalem_Talmud_Yoma.3.8.9
Κορίνθιον,Greek,"This is the correct scribe’s text. The corrector who did not understand the word changed it to the text in brackets. Corinthian brass was the most expensive kind, used for luxury goods; a copper alloy probably containing some precious metal. Greek Κορίνθιον “Corinthian”, adj., n..",https://chavrutai.com/yerushalmi/Yoma/3#8-9,Jerusalem_Talmud_Yoma.3.8.9
καθέδριον,Greek,"Greek καθέδριον. τὸ , ""small chair"".",https://chavrutai.com/yerushalmi/Yoma/4#1-6,Jerusalem_Talmud_Yoma.4.1.6
τὸ,Greek,"Greek καθέδριον. τὸ , ""small chair"".",https://chavrutai.com/yerushalmi/Yoma/4#1-6,Jerusalem_Talmud_Yoma.4.1.6
ψυκτήρ,Greek,"Greek ψυκτήρ. The scribe’s spelling is in parentheses, the corrector’s in brackets.",https://chavrutai.com/yerushalmi/Yoma/4#4-2,Jerusalem_Talmud_Yoma.4.4.2
ναρθήκιον,Greek,Greek ναρθήκιον. The fire-pan was of metal.,https://chavrutai.com/yerushalmi/Yoma/4#4-4,Jerusalem_Talmud_Yoma.4.4.4
