row,headword,sense_index,pos,etymology,definition,refs,other_refs
677,חֲמָת,1,locative (place name),"√ dub.; Thes MV al. der. from חָמָה, חֲמָת = fortress, or (v. RSSem i, 140), sacred enclosure, temenos, ḥimā, cf. HalJAS 7 ème Sér. x, 392 LagBN 82, 156; but no certainty that name is Shemitic; Arabic حَمَاة [ḥamāh], Assyrian Amattu, DlPA 275 ff. Pr 174","—mod. Ḥamâ, on el-ʿÂṣi (Orontes), 38 h. (c. 115 m.) N. of Damascus, v. BdPal. 398 f. It had a king, תֹּעִי, in David’s time =, and in 8th cent. b.c. =; gods of its own; =; gave its name to land (limits unknown) רִבְלָה בְּאֶרֶץ ח׳, cf.; contained Isr. exiles; furnished colonists for Samaria (cf. v supr.) after being conquered by Sargon, (COT; cf. ). It is called great Hamath by (חֲמַת רַבָּה,—חֲמַת only here). ח׳ is mentioned with דַּמֶּשֶׂק, צֹר, צִידוֹן in prophecy against land Hadrach (חַדְרָךְ), cf.. Often in phr. לְבֹא ח׳ (עַד־) = the entrance to H., i.e. the approach to H., as territorial limit; usually as denoting (ideal) northern limit of Isr. territory; =; חֲמָ֑תָה; ח׳ צובָה, and הֵשִׁיב אֶת־דַּמֶּשֶׂק וְאֶת־ח׳ לִיחוּדָה; so also: גְּבוּל ח׳, cf. v + v (del. Co); לְבוֹא ח׳, cf.; אֶל־יַד ח׳.",II Samuel 8:9; I Chronicles 18:9; II Kings 19:13; Isaiah 37:13; II Kings 17:30; II Kings 18:34; Isaiah 36:19; II Kings 23:33; II Kings 25:21; Jeremiah 39:5; Jeremiah 52:9; Jeremiah 52:27; II Chronicles 8:4; Isaiah 11:11; II Kings 17:24; II Kings 17:30; II Kings 17:24; II Kings 18:34; Isaiah 10:9; Amos 6:2; Zechariah 9:2; Jeremiah 49:23; Judges 3:3; Joshua 13:5; Numbers 13:21; Numbers 24:8; Amos 6:14; I Kings 8:65; II Chronicles 7:8; II Kings 14:25; I Chronicles 13:5; I Chronicles 18:3; II Chronicles 8:3; II Kings 14:28; Ezekiel 47; Ezekiel 48; Ezekiel 47:17; Ezekiel 47:16; Ezekiel 47:16; Ezekiel 48:1; Ezekiel 47:20; Ezekiel 48:1,
678,חַמֹּת דֹּאר,1,locative (place name),,"in Naphtali, Levitical city (perhaps = 1. חַמַּת, חַמּוֹן 2 v. Di), 𝔊 Νεμμαθ [Nemmath], A Εμαθδωρ [Emathdōr], 𝔊L Αμαθδωρ [Amathdōr].",Joshua 21:32,
679,חֵן³,1,masculine,favour,"—contemp. of Zerubbabel, so RV SS We, but RVm Ew Hi Ke Or grace, favour, kindness.",Zechariah 6:14,
680,חֵנָדָד,1,masculine,חֵן + הָדָד favour of Hadad,—Levite chief.,Ezra 3:9; Nehemiah 3:18; Nehemiah 3:24; Nehemiah 10:10,
681,חַנָּה,1,feminine,,"𝔊 Ἄννα [Anna] (cf. Nab. חנה EutNo. 20), mother of Samuel (×2), (×2).",I Samuel 1:2; I Samuel 1:5; I Samuel 1:8; I Samuel 1:9; I Samuel 1:13; I Samuel 1:15; I Samuel 1:19; I Samuel 1:20; I Samuel 1:22; I Samuel 2:1; I Samuel 2:21,
682,חֲנוֹךְ,1,masculine,,,,
683,חָנוּן,1,masculine,"favoured; cf. Assyrian Ḫanunu, king of Gaza COT on",—,II Kings 15:29,
684,חַנִּיאֵל,1,,,and חֲנִינָה v. sub.,,"BDB, חָנָן"
685,חַנִּיאֵל²,1,masculine,"favour of Ēl; cf. Ph. חנבעל, חנמלקרת (Hamilcar) favour of Melqart; Nab. חנאל VogNo. 10",—,,
686,חֲנַמְאֵל,1,masculine,perhaps = חנן־אל,"—Jeremiah’s cousin, son of his uncle, cf. ח׳ דֹּדִי v; 𝔊 Αναμεηλ [Anameēl].",Jeremiah 32:7; Jeremiah 32:8; Jeremiah 32:9; Jeremiah 32:12,
687,חָנָן,1,masculine,"gracious; cf. Sab. חנן, Ph. חנא",—,,
688,חֲנַנְאֵל,1,masculine,"Ēl is gracious; cf. Ph. חננבעל, אלחנן, etc.",—name of a tower at Jerusalem.,Jeremiah 31:38; Zechariah 14:10; Nehemiah 3:1; Nehemiah 12:39,
689,חֲנָנִי,1,masculine,perhaps abbrev. from foll.,—,,
690,חֲנַנְיָ֫הוּ,1,masculine,י׳ hath been gracious,"—𝔊 Ἀνανίας [Ananias]; חֲנַנְיָהוּ: (cf. on Israel. seal, GanneauJAs Fev.-Mars 1883, 128, No. 1)—",,"BDB, חֲנַנְיָ֫הוּ"
691,חָנֵס,1,locative (place name),,"in Lower Egypt, on island in Nile, S. of Memphis (‖ צֹעַן) = Egyptian Ḥnnstn [Ḥnénsĕ], Assyrian Ḫininši; Herodot. ii. 137 Ἄνυσις [Anysis], afterward Heracleopolis magna, now Ahnâs; v. SteindorffBAS i, 602.",Isaiah 30:4,
