row,headword,sense_index,pos,etymology,definition,refs,other_refs
780,יְדַעְיָה,1,masculine,"Sab. n.pr. ידעאל DHMZMG 1875, 605",priestly name;—,,
781,יָהּ,1,divine name,,"contr. from יהוה, first appears in early poems; עָזִּי וְזִמְרָת יָהּ My strength and song is Yah (cited ), cf. the poetic extract יָד עַל כֵּם יָהּ = hand to the throne of Yah (E), the song of Hezekiah (repeated by dittography), (א)שׁ להבת יה (so read in preference to the MT שַׁלְהֶבֶתְיָה) = flame of fire from Yah; ביה יהוה (יהוה sustained by Aq and the rhythmical movement, unless it be a mistake for שׁמו, cf. ), יה אלהים. Elsewhere יָהּ is used only in late ψ [ps], especially in the Hallels, in the phrase הַלֲלוּ־יָהּ praise ye Yah, cf. also יהלל יה יהללו יה תהלל יה (v. ); in var. other phrases.",Exodus 15:2; Isaiah 12:2; Psalms 118:14; Exodus 17:16; Isaiah 38:11; Song of Songs 8:6; Isaiah 26:4; Psalms 68:5; Psalms 68:19; Psalms 104:35; Psalms 105:45; Psalms 106:1; Psalms 106:48; Psalms 111:1; Psalms 112:1; Psalms 113:1; Psalms 113:9; Psalms 115:18; Psalms 116:19; Psalms 117:2; Psalms 135:1; Psalms 135:3; Psalms 135:21; Psalms 146:1; Psalms 146:10; Psalms 147:1; Psalms 147:20; Psalms 148:1; Psalms 148:14; Psalms 149:1; Psalms 149:9; Psalms 150:1; Psalms 150:6; Psalms 102:19; Psalms 115:17; Psalms 150:6; Psalms 77:12; Psalms 89:9; Psalms 94:7; Psalms 94:12; Psalms 115:18; Psalms 118:5; Psalms 118:5; Psalms 118:14; Psalms 118:17; Psalms 118:18; Psalms 118:19; Psalms 122:4; Psalms 130:3; Psalms 135:4,"BDB, הָלַל"
782,יָהּ²,1,divine name,,v. sub p. 219b supr.,,"BDB, הָוָה"
783,יֵהוּא,1,masculine,"prob. contr. from יהוהוא = י׳ is He, cf. and reff.; cuneif. Ia-u-a COT (further SchrMBAW 1880, 277, SchrZA iii. 3 HptBAS i. 296, 329 Jäger ib. 468); cf. also",—,I Kings 16:23; II Kings 9:2,"BDB, יֵשׁוּעַ; BDB, אֱלִיהוּ"
784,יֵהוּא²,1,masculine,,v. sub supr. p. 219.,,"BDB, יהוה²"
785,יְהוֹאָחָז,1,masculine,"י׳ hath grasped; 𝔊 Ἰωαχας [Iōachas], & Ἰωαχαζ [Iōachaz]; cf. also, & cuneif. Ia-u-ḫa-zi for Ahaz, v., and cf. further JägerBAS i. 467 f.",—,,"BDB, אֲחַזְיָ֫הוּ; BDB, אָחָז"
786,יְהוֹאָשׁ,1,masculine,,"𝔊 Ἰωας [Iōas] (י׳ is strong, cf.; or hath bestowed, cf. Arabic آسَ [ʾāsa] bestow; Ph. יאש n.pr.f.; Sab. אלאוס Hal 150, אוסאל Hal 144, יאוסאל Hal 192, cf. DHMZMG 1883, 15);—",,"BDB, אישׁ"
787,יְהוּדָה,1,masculine,,"et terr. Judah (treated; (q.v. infr.) as if der. from Hoph. of ידה = praised, object of praise (on ה cf. Hiph. אֲהוֹדֶ֑נּוּ, יְהוֹדֶה ), but this dubious; relation to יְהֻד, ii. יְהוּדִית unexpl.; v. further JastrJBL xii, 1893, 61 ff.; Assyrian Ia-u-du, of land; Ia-u-da-ai, Judaean COTGloss)—",Genesis 29:35; Genesis 49:8; Psalms 28:7; Nehemiah 11:17,
788,יְהוּדָה,3,masculine,,,,
789,יְהוּדָה,19,territorial (land/region),,"land of Judah, f. =, +; ארץ יְהוּדֶה +; אדמת יהודה; עָרֵי יהודה; also 15 times Chr., 23 times Jer.; בִּיהודה +; מיהודה +; הר יהודה the hill-country of Judah (D); (P); נֶגֶב יהודה the south (country) of Judah.; מדבר יהודה (title).",Isaiah 7:6; Jeremiah 23:6; Jeremiah 33:16; Joel 4:20; Psalms 114:2; I Samuel 22:5; II Kings 23:24; Isaiah 19:17; II Samuel 2:1; I Kings 12:17; II Kings 18:13; II Kings 23:5; II Kings 23:8; Isaiah 40:9; Isaiah 44:26; Zechariah 1:12; Psalms 69:36; Lamentations 5:11; Joshua 19:34; Judges 15:9; I Kings 13:1; Joshua 11:21; Joshua 20:7; Joshua 21:11; II Chronicles 27:4; I Samuel 27:11; II Samuel 24:7; Judges 1:16; Psalms 63:1,
790,יְהוּדִי²,1,masculine,,"officer of Jehoiakim, (×2), 𝔊 Ιουδιν [Ioudin] (perhaps orig. appell. Jewish, of one not so by ancestry, v. Gf Gie).",Jeremiah 36:14; Jeremiah 36:21; Jeremiah 36:23,
791,יְהוּדִית²,1,feminine,relation to foregoing names obscure,"—wife of Esau, daughter of בְּאֵרִי the Hittite (not named ); 𝔊 Ιουδιν [Ioudin].",Genesis 26:34; Genesis 36:1,
792,יהוה,1,divine name,,"6823 i.e. יַהְוֶה n.pr.dei Yahweh, the proper name of the God of Israel—(1. MT יְהוָֹה6518 (Qr אֲדֹנָי), or יֱהוִֹה305 (Qr אֱלֹהִים), in the combinations אדני יהוה & יהוה אדני (vid. אֲדֹנָי), and with prep. בַּיהוָֹה, לַיהוָֹה, מֵיהוָֹה (Qr בַּאדֹנָי, לַאדֹנָי, מֵאדֹנָי), do not give the original form. 𝔊 and other Vrss follow the Qr. On the basis of; יהוה was regarded as a nomen ineffabile (vid. Philo de Vita Mosis iii, 519, 529), called by the Jews הַשֵּׁם and by the Samaritans שׁימא. The pronunciation Jehovah was unknown until 1520, when it was introduced by Galatinus; but it was contested by Le Mercier, J. Drusius, and L. Capellus, as against grammatical and historical propriety (cf. Bö§ 88). The traditional Ἰαβέ [Iabe] of Theodoret and Epiphanius, the ־יָהוּ, יְהוֹ־ of compound n.pr. and the contracted form יָהּ, all favour יַהְוֶה (cf. יַהֲלֹמ֑וּן; תַּהֲרוּ ), v. LagSym. i. 14 BaudissinStudien i. 179 ff.; DrStud. Bib. i. 1 ff. For Jeve v. StaZAW 1881, 346 De ib. 1882, 173 f. & Gn. Excurs. ii. 2. on liter. of interpret. v. NesEg 67 Drl.c..—Many recent scholars explain יַהְוֶה as Hiph. of הוה (= היה) the one bringing into being, life-giver (cf. ) Schr HSch; giver of existence, creator, Kue Tiele; he who brings to pass (so already Le Clerc), performer of his promises, Lag, Nes.Eg 88 (but NesEg. 91 inclines to Qal as RSBrit. & For. Ev. Rev. v. infr.); or from הוה he who causes to fall, rain or lightning RSOTJC ed. 1, 423; om. ed. 2, 245, cf. WeSkizzen iii. 175; ‘Fäller,’ destroying foes, StaG. i. 429 (dubiously). But most take it as Qal of היה (= היה); the one who is: i.e. the absolute and unchangeable one, Ri; the existing, ever-living, as self-consistent and unchangeable, Di; or the one ever coming into manifestation as the God of redemption, De Oehl; cf. also RSBrit. & For. Ev. Rev. 1876, he will be it, i.e. all that his servants look for (cf. Ewinfr.), he will approve himself (give evidence of being, assert his being Drl. c. 17)). theories of non-Heb. or non-Sem. origin. opposed (in their older forms) by BauRel i. 181 ff. (v. especially 230); DlPa 162 ff. claimed Bab. origin for יהו, against this KueNational religions, etc., Note iv (Eng. Trans. 329 ff.) JastrJBL xiii (1894), 103 f. cf. HptBAS i. 170 N; Dl Babel u. Bibel, 46 f., 73 f. makes same claim for יהוה, agst. this v. especially HirschZAW xxiii (1903), 355 ff. ZimKAT 3, 465 ff.; SpiegelbergZMG liii (1899), 633 ff. proposes (improb.) Egyptian etymol. for יהוה; further discussions see in KöEB Names, § 112 and n. 3. ‘Jehovah’ found in Jacob (? Johann.) Wessel († 1480), according to SchwallyThLZ, 1905, col. 612.",Exodus 20:7; Leviticus 24:11; Psalms 74:6; Isaiah 33:11; Genesis 3:20,"BDB, הַוָּה"
793,יהוה²,1,divine name,,v. sub p. 217 ff.,,"BDB, הַוָּה"
794,יְהוֹזָבָד,1,masculine,,"𝔊 usually Ἰωζαβαδ [Iōzabad] (י׳ hath bestowed; cf. Palm. נבוזבד Vog 73; v. also, )—",,"BDB, זְבַדְיָהוּ; BDB, זַבְדִּיאֵל"
795,יְהוֹחָנָן,1,masculine,,"† יְהוֹחָנָן, יוֹחָנָן n.pr.m. 𝔊 mostly Ἰωαναν, Ἰωναν [Iōanan, Iōnan] (י׳ hath been gracious, cf., & reff.; also Ph. יחנבעל בעליחן)—",,"BDB, אֶלְחָנָן; BDB, חֲנַנְאֵל"
796,יְהוֹיָדָע,1,masculine,"י׳ knoweth; cf., & reff., בְּעֶלְיָדָע",—,,"BDB, יְדַעְיָה; BDB, אֶלְיָדָע"
797,יְהוֹיָכִין,1,masculine,י׳ appointeth,"last king but one of Judah, son of Jehoiakim (𝔊 Ἰωακειμ [Iōakeim]; in K, 𝔊L Ἰωακειν [Iōakein]; 𝔊 in Je (usually) & Ch Ἰεχονίας [Iechonias]); יְהוֹיָכִין; (×2), = יְהוֹיָכִן v; = יוֹיָכִין; = יְכוֹנְיָה; = יְכָנְיָה; = יְכָנְיָהוּ = כָּנְיָהוּ.",II Kings 24:6; II Kings 24:8; II Kings 24:12; II Kings 24:15; II Kings 25:27; II Chronicles 36:8; II Chronicles 36:9; Jeremiah 52:31; Jeremiah 52:31; Ezekiel 1:2; Jeremiah 27:20; Jeremiah 28:4; Jeremiah 29:2; I Chronicles 3:16; I Chronicles 3:17; Esther 2:6; Jeremiah 24:1; Jeremiah 22:24; Jeremiah 22:28; Jeremiah 37:1,
798,יְהוֹיָקִים,1,masculine,,"𝔊 Ἰωακειμ [Iōakeim] (י׳ raiseth up; cf. & reff.; also יָקִים, יְקַמְיָה)—",,"BDB, אֶלְיָקִים"
799,יְהוֹיָרִיב,1,masculine,,"𝔊 Ἰωιαρειβ, Ἰωαρειβ, Ἰωαρειμ [Iōiareib, Iōareib, Iōareim], etc. (י׳ pleadeth, or contendeth)—",,
800,יְהוּכַל,1,masculine,,"𝔊 Ἰωαχαλ [Iōachal] (Codd. have ζ, χ, ς [z, ch, s], for λ [l]) (prob. contr. from יהויוכל, י׳ is able) a courtier of king Zedekiah, יְהוּ׳ = יוּ׳.",Jeremiah 37:3; Jeremiah 38:1,
801,יְהוּכַל²,1,masculine,,v. sub p. 220 supr.,,"BDB, יְהוֹיָרִיב"
802,יְהוֹנָדָב,1,masculine,"י׳ is noble, or is liberal, or hath impelled, cf.",—,,"BDB, נְדַבְיָה"
803,יְהוֹנָתָן,1,masculine,,"יְהוֹנָתָן, יוֹנָתָן n.pr.m. 𝔊 Ἰωναθαν [Iōnathan] throughout, with occasional var. (י׳ hath given; cf., & reff., Temanite רמננתן HalRÉJ 1884, ix. 7 f. NbrStud. Bib. i. 211; Sab. והבאום Hal 10)—",,"BDB, אֶלְנָתָן; BDB, נְתַנְיָ֫הוּ; BDB, נְתַנְאֵל"
804,יְהוֹעַדָּה,1,masculine,"meaning dub.; Thes י׳ hath adorned (as Heb. עדה Hiph.; vb. of Pa. form); MV י׳ is equipment, cf. Arabic عُدَّةٌ [ʿuddahun]; possibly י׳ hath carried off spoil, or hath deposed (𝔗 עדא Pe Pa Aph; cf. Haph. ); or perhaps י׳ hath numbered Arabic عَدَّ [ʿadda]","—a descendant of Saul (×2) (𝔊 Ἰαδα [Iada], A Ἰωιαδα [Iōiada], 𝔊L Ἰωδα [Iōda]) = יַעְרָה (×2) (for יֹעַדָּה? cf. Be; 𝔊 Ἰαδα [Iada], 𝔊L Ἰωδα [Iōda]).",Daniel 2:21; I Chronicles 8:36; I Chronicles 9:42,
805,יְהוֹעַדָּן,1,feminine,"? du. (cf. Kt ) or f.pl. of יהועדה, (עדה as noun) Aramaic form; Klo cf.; comp. Bab. n.pr. Aḫulapia, v. p. 29 supr.","mother of Amaziah, king of Judah Qr (Kt יהועדין, 𝔊 Ἰωαδειμ [Iōadeim], A Ἰωαδειν [Iōadein]), (𝔊 Ἰωναα [Iōnaa], A Ἰωαδεν [Iōaden], 𝔊L Ἰωαδειν [Iōadein]).",II Kings 14:2; II Kings 14:2; Psalms 13:2; II Kings 14:2; II Chronicles 25:1,"BDB, יהוה; BDB, אַחְלָ֑י"
806,יְהוֹצָדָק,1,masculine,י׳ is righteous; cf. Sab. צדקאל Hal 193,"father of Joshua the high-priest, יְהוֹ׳; = יוֹ׳; (𝔊 Ἰωσαδακ, Ἰωσεδεκ [Iōsadak, Iōsedek]).",Haggai 1:1; Haggai 1:12; Haggai 1:14; Haggai 2:2; Haggai 2:4; Zechariah 6:11; I Chronicles 5:40; I Chronicles 5:41; Ezra 3:2; Ezra 3:8; Ezra 5:2; Ezra 10:18; Nehemiah 12:26,"BDB, צִדְקִיָּ֫הוּ"
807,יְהוֹרָם,1,masculine,"י׳ is exalted; cf.; further, Ph. בעלרם, רמבעל; Sab. אלרם DHMZMG 1876, 686",—,,"BDB, מַלְכִּירָם"
808,יְהוֹשֶׁ֫בַע,1,feminine,י׳ is an oath; cf.,"—daughter of Joram of Judah, & wife of Jehoiada the priest; יְהוֹשֶׁבַע (𝔊 Ἰωσαβεε, Ἰωσαβεθ [Iōsabee, Iōsabeth]; = יְהוֹשַׁבְעַת (×2) (𝔊 Ἰωσαβεε [Iōsabee]).",II Kings 11:2; II Chronicles 22:11,"BDB, אֱלִישֶׁ֫בַע"
809,יְהוֹשׁוּעַ,1,masculine,,"and (later יֵשׁוּעַ, n.pr.m. (& loc., v. 9 infr.) (י׳ is salvation, or י׳ is opulence, cf., & NesSK 1892, 573 f.; in any case it came to be associated with ישׁע, cf. Mat 1:21; on יֵשׁוּעַ v. especially FräVOJ iv, 1890, 332 f. MüllSK 1892, 177 f. who cite analog. for change of וֹ to later—ֵ, & Nesl.c.)—",,"BDB, אֱלִישָׁע; BDB, אֱלִישׁוּעַ; BDB, אֲבִישׁוּעַ"
810,יְהוֹשׁוּעַ,23,locative (place name),,"in south of Judah בְּיֵשׁוּעַ (𝔊 ἐν Ἰησού [en Iēsou], 𝔊L ἐν Σουα [en Soua]).",Nehemiah 11:26,
811,יְהוֹשֻׁעַ,1,,,see p. 221.,,
812,יְהוֹשָׁפָט,1,masculine,,"𝔊 Ἰωσαφαω, Ἰωσαφατ [Iōsaphaō, Iōsaphat] (י׳ hath judged, cf., שְׁפַטְיָהוּ & reff.)—",,"BDB, אֱלִישָׁפָט"
813,יְהוֹשָׁפָט,15,locative (place name),,"in n.pr.loc. עֵמֶק יְהוֹשָׁפָט, symbolical name of a valley near Jerusalem, place of ultimate judgment.",Joel 4:2; Joel 4:12,
814,יְהַלֶּלְאֵל,1,,,"[m.] (he shall praise God, cf. infr.);—",,"BDB, מַהֲלַלְאֵל"
815,יַ֫הַץ,1,locative (place name),,"in Moab, site unknown (MI 19, 20 יהץ)—יהץ; c. ה loc. יָ֑הְצָה, on border of territory of Amorites (under Sihon); also בְּיָהְ֑צָה; called יַהֲצָ֫ה (assigned to Reuben); יַ֫הְצָה (Levit. city in Reuben).",Isaiah 15:4; Jeremiah 48:34; Numbers 21:23; Deuteronomy 2:32; Judges 11:20; Joshua 13:18; I Chronicles 6:63; Jeremiah 48:21,
816,יוֹאָב,1,masculine,"י׳ is father; cf., & reff.",—,,"BDB, אֲבִיָּ֫הוּ; BDB, אֱלִיאָב; BDB, אֲבִיאֵל"
817,יוֹאָח,1,masculine,י׳ is brother; cf. & reff.,—,,"BDB, אֲחִיָּ֫הוּ"
818,יוֹאֵל,1,masculine,,"† יוֹאֵל n.pr.m. 𝔊 Ἰωηλ [Iōēl] (usually interpr. as י׳ is God, cf. אֵלִיָּהוּ; but Ph. יאל … CIS i. 132 l. 4 & in יאלפעל (Louvre) appar. n.pr. dei, perhaps = Iolaos, CIS i. p. 163 & reff.; v. also NesEg 86 RSK 301; Nes strong-willed, cf. ויל, ואל Sin. Inscr. وائل [wāʾl], v. ואלו EutSin.Inschr. No. 5 + often, yet cf. DrStud. Bib. i. 5 n.; W in RSl.c. proposes connex. with Arabic Wâil in n.pr. trib. Bakr Wâil (√ وَأَلَ [waʾala] take refuge) cf. RSK 194)—",,
819,יוֹבָב,1,masculine,Sab. n.pr. יהיבב GlaserSkizze ii. 303 ff.,—,,
820,יוֹבָב²,1,,,"v., v..",,"BDB, יָבַב; BDB, יוֹבֵל; BDB, יוּבַל; BDB, יָבַל"
821,יוֹכֶ֫בֶד,1,feminine,,"𝔊 Ἰωχαβεδ [Iōchabed] (י׳ is glory; cf. Ph. כבדמלקרת) daughter of Levi, wife of Amram and mother of Moses (both P).",Exodus 6:20; Numbers 26:59,
822,יָוָן,1,gentilic (people group),,"Ionia(ns), Greece (Gk. Ἰάονες [Iaones] (i.e. orig. Ἰάϝονες [Iawones]), v. also 𝔊 infr.; OPers. Yauna SpiegAPK 237; Assyrian Iamanu (Iavanu) DlPa 248 ff. COTGloss; Egyptian Ye-van-(n)a, v. WMM369 f. cf. also 24 ff.; v. especially on this word StaDe Populo Javan 1880)—Ionians, as traders, 𝔊 Ἑλλάς [Hellas] (named with תּוּבַל, מֶשֶׁךְ; in v תַּרְשִׁישׁ, in v תּוֹגַרְמָה); cf. (adj. gent.) infr.; as distant, 𝔊 Ἑλλάς [Hellas] (with תַּרְשִׁישׁ, פּוּל, לוּד, תּוּבַל, and הָאִיִּים הָֽרְחֹקִים; list to be emended from 𝔊 Staib. 5 ff.); called ‘son’ of Japhet (P) =, and ‘father’ of אֱלִישָׁא, תַּרְשִׁישׁ, כִּתִּים and רֹדָנִים (so read for דֹדָנִים) (P) = (in these 𝔊 Ιωυναν [Iōunan], v. LagBN 84 Anm.); addressed (personif.) בָּנַיִךְ יָוָן (opp. בניך צִיּוֹן) 𝔊 Ἕλληνες [Hellēnes], and so in foll.; מֶלֶךְ יָוָן (v. מַלְכֵי מָדַי וּפָרָ֑ס v ) = king of Greece i.e. kingdom over which Alexander ruled, whose dominion was afterward divided (see v ); שַׂר־יָוָן of the guardian-angel of Greece (v. שַׂר פָּרָס v a); מַלְכוּת יָוָן (v b פָּרָס).— וְיָוָן is text. error, v. supr. p. 255a.",Ezekiel 27:13; Ezekiel 27:12; Ezekiel 27:14; Isaiah 66:19; Genesis 10:2; I Chronicles 1:5; Genesis 10:4; I Chronicles 1:7; Zechariah 9:13; Daniel 8:21; Daniel 8:20; Daniel 8:22; Daniel 10:20; Daniel 11:2; Ezekiel 27:19,"BDB, יְוָנִי; BDB, וְדָן"
823,יוֹנָה²,1,masculine,,"prophet, according to he was הַנָּבִיא, son of אֲמִתַּי, from גַּת הַחֵפֶר, and predicted the recovery of Isr.’s territory which Jerob. II effected; he is also the principal figure of the Book of Jonah: (בֶּן־אֲמִתַּי), v, (×2), (×2).",II Kings 14:25; Jonah 1:1; Jonah 1:3; Jonah 1:5; Jonah 1:7; Jonah 1:15; Jonah 2:1; Jonah 2:2; Jonah 2:11; Jonah 3:1; Jonah 3:3; Jonah 3:4; Jonah 4:1; Jonah 4:5; Jonah 4:6; Jonah 4:8; Jonah 4:9,
824,יוֹסֵף²,1,masculine,,"and יְהוֹסֵף († v. Ges§ 53, 3, R. 7). n.pr.m. (he adds, increases, v. יוספיה infr.;—on n.pr. loc. in Pal. Yšap’arḁ (Egyptian form, = יוסף אל) v. MeyZAW vi, 8 WMMAsien u. Europa 162)—",Psalms 81:6,
825,יוֹסִפְיָה,1,masculine,י׳ adds,—father of one of Ezra’s companions.,Ezra 8:10,
826,יוֹעֵד,1,masculine,,𝔊 Ἰωαδ [Iōad] (י׳ is a witness) a Benjamite.,Nehemiah 11:7,
827,יוֹעָשׁ,1,masculine,,𝔊 Ἰωας [Iōas] (י׳ hath aided (?; cf. Arabic غَاثَ [ghātha]; comp. Sab. אלעֿותֿ DHM in MV)—,,
828,יוֹרָה²,1,masculine,,"בְּנֵי י׳ one of the families of the restoration (𝔊 Ουρα, Ιωρα [Oura, Iōra]) = חָרִיף (𝔊 Αρειφ [Areiph]).",Ezra 2:18; Nehemiah 7:23,
829,יוֹשִׁבְיָה,1,masculine,"י׳ setteth, causeth to dwell; cf. Ph. n.pr. ישבעל (? = ישבבעל)","—a Simeonite 𝔊 Ισαβια [Isabia], 𝔊L Ιωσαβια [Iōsabia].",I Chronicles 4:35,
830,יוֹתָם,1,masculine,י׳ is perfect,—,,
831,יָזִיז,1,masculine,,an officer of David יָזִיו הַהַגְרִי.,I Chronicles 27:31,
832,יִזְרַחְיָה,1,masculine,"י׳ will arise, or shine",—,,
833,יִזְרְעֶאל,2,locative (place name),"God soweth; Sab. אלדֿרא Mordt ZMG 1879, 489; v. LagBN 131",—י׳ +; יִזְרְעֶ֑אל +; יִזְרְעֶ֫אלָה + 6 times:,Joshua 15:56; II Samuel 2:9; I Samuel 25:43; Joshua 17:16; Joshua 19:18,
834,יֶחְדְּיָ֫הוּ,1,masculine,May י׳ give joy!,,,
835,יַחֲזִיאֵל,1,masculine,Ēl sees,—,,
836,יְחֶזְקֵאל,1,masculine,"God strengtheneth, cf. foreg.; v. LagBN 134",—,,
837,יַחְזֵרָה,1,masculine,,cf. p. 28 b.,I Chronicles 9:12,"BDB, אֲחַזְיָ֫הוּ"
838,יַחְזֵרָה²,1,masculine,,"a priest (for which אַחְזַי (q.v.) ), v. now also Ryle on.",I Chronicles 9:12; Nehemiah 11:13; Nehemiah 11:13,
839,יְחִיאֵל,1,masculine,"may Ēl live; Ph. יחואלן, יחומלך v. Eut ZMG 1876, 136","—𝔊 usually Ιειηλ, Ιαιηλ [Ieiēl, Iaiēl];—",,
840,יְחִיאֵלִי,1,masculine,patronym.,(𝔊 Ιειηλ [Ieiēl]; 𝔊L om. in v ).,I Chronicles 26:21; I Chronicles 26:22; I Chronicles 26:22,
841,יַחְצְאֵל,1,masculine,"God divideth, apportioneth","—son of Naphtali; יַחְצְ׳ (𝔊 Ασιηλ [Asiēl], 𝔊L Ιασβηλ [Iasbēl]), (Σαηλ, Ασιηλ [Saēl, Asiēl]) = יַחֲצִי׳ (Ιεισιηλ [Ieisiēl], 𝔊L Ιασσιηλ [Iassiēl]).",Genesis 46:24; Numbers 26:48; I Chronicles 7:13,
842,יַ֫חַת,1,masculine,"perhaps for יַחְתֶּה, יַחֲתֶה he (God) will snatch up",—,,
843,יָטְבָה,1,locative (place name),pleasantness,"city prob. in Judah, site unknown.",II Kings 21:19,
844,יָטְבָ֫תָה,1,locative (place name),pleasantness,"station of Isr. in wilderness, (P), site unknown.",Numbers 33:33; Numbers 33:34; Deuteronomy 10:7,
845,יֻטָּה²,1,locative (place name),,"יוּטָּה (so Baer) n.pr.loc. town in Judah ( 𝔊 Ιταν [Itan], A 𝔊L Ιεττα [Ietta], 𝔊 Τανυ [Tany], 𝔊L Ιεττα [Ietta]).",Joshua 21:16; Joshua 15:55; Joshua 15:55; Joshua 21:16,
846,יְטוּר,1,masculine,,"and gent. (perh. connected etymolog. with טִירָה, v. )—a ‘son’ of Ishmael = = tribe with which Reuben, Gad, and half Manasseh made war; Ἰτουραῖοί τε καὶ Ἄραβες [Itouraioi te kai Arabes] Strabo xvi. 2, 18, Ἰτουραίους [Itouraious] JosephAntxiii, 11, 3 ed. Niese; they gave name to their region, which was, substantially, Anti-Lebanon, cf. τῆς Ἰτουραίας καὶ Τραχωνίτιδος χώρας [tēs Itouraias kai Trachōnitidos chōras] Luke 3:1; on יְטוּר and (later) n.pr.terr. Ituraea, v. especially GASmGeogr.544 ff. and reff.",Genesis 25:16; Genesis 25:15; I Chronicles 1:31; I Chronicles 5:19,
847,יְכוֹנְיָה²,1,masculine,may Y. be enduring,"— = יְכָנְ֫יָהוּ = יְכָנְיָה, = כָּנְיָ֫הוּ; (𝔊 Ιεχονιας [Iechonias] throughout), all of last king but one of Judah, v. p. 220 supr.",Jeremiah 27:20; Jeremiah 24:1; Jeremiah 28:4; Jeremiah 29:2; I Chronicles 3:16; I Chronicles 3:17; Esther 2:6; Jeremiah 22:24; Jeremiah 22:28; Jeremiah 37:1,"BDB, יְהוֹיָכִין"
848,יָכִין,1,masculine,he will establish,—,,
849,יְכָלְיָהוּ,1,feminine,י׳ hath been able; cf. Sab. יכלאל Hal 465,"mother of king Azariah: יכליהו, 𝔊 Χαλεια [Chaleia], 𝔊L Ιεχελια [Iechelia]; יכליה (Qr; Kt יכיליה), 𝔊 Χααια [Chaaia], A 𝔊L Ιεχελια [Iechelia].",II Kings 15:2; II Chronicles 26:3,
850,יְמוּאֵל,1,masculine,,son of Simeon (𝔊 Ιεμουηλ [Iemouēl]) = נְמוּאֵל (q.v.).,Genesis 46:10; Exodus 6:15; Numbers 26:12; I Chronicles 4:24,
851,יְמִימָה,1,feminine,cf. perhaps Arabic يَمَامَةٌ [yamāmahun] dove nom. unit. of يَمَامٌ [yamāmun] Frey,—daughter of Job.,Job 42:14,
852,יָמִין²,1,masculine,,,,
853,יִמְלָה,1,,,v. sub.,,"BDB, יִמְלָה²; BDB, מָלֵא"
854,יִמְלָה²,1,masculine,,"father of prophet Micaiah of Isr.:—יִמְלָה, 𝔊 Ιεμια [Iemia], 𝔊L Ναμαλι [Namali]; = יִמְלָא. 𝔊 Ιεμαα [Iemaa], A Ιεμλα [Iemla], 𝔊L Ναμαλι [Namali].",I Kings 22:8; I Kings 22:9; II Chronicles 18:7; II Chronicles 18:8,
855,יִמְנָה,1,masculine,cf. perhaps Arabic يُمْنٌ [yumnun] good fortune يَمْنَةٌ [yamnahun] right side,—,,
856,יָנוֹחַ,1,locative (place name),,"in extreme N. of Isr.; site dub., Yânûḫ (Conder Lists 38) near Tyre is prob. too far W.; GuérinGal ii. 371 f. proposes Hunîn, W. of upper Jordan, cf. BuhlGeogr. 237; 𝔊 Ανιωχ [Aniōch], A 𝔊L Ιανωχ [Ianōch].",II Kings 15:29,
857,יָנ֫וֹחָה,1,locative (place name),,"on border of Ephraim, identif. with Yânun SE. from Shechem RobBR iii. 297 cf. BuhlGeogr. 178; 𝔊 Ιανωχα, Ιανωκα [Ianōcha, Ianōka].",Joshua 16:6; Joshua 16:7,
858,יִסְכָּה,1,feminine,etym. dubious,"—a daughter of הָרָן, and sister of מִלְכָּה, 𝔊 Ιεσχα [Iescha].",Genesis 11:29,
859,יְעוּאֵל,1,masculine,,,,
860,יְעוּץ,1,masculine,,"Benjamite name, 𝔊 Ιδως [Idōs], A Ιεους [Ieous], 𝔊L Ιωας [Iōas].",I Chronicles 8:10,
861,יָעוֹר,1,masculine,,"Kt, יָעִיר Qr, n.pr.m. father of Elḫanan the giant-slayer (Ιαειρ [Iaeir]) + ‖ (where read יעיר for יַעֲרֵי, and del. אֹרְגִים, v. Th We Dr Bu Kit HPS).",I Chronicles 20:5; II Samuel 21:19,
862,יְעוּשׁ²,1,masculine,also Kt יעישׁ,"n.pr.m. (prob. he comes to help, NöZMG xl (1886), 168; = Arabic n.pr.div. يَغُوثُ [yaghūthu], WeSkizzen iii, 171; Heid. 2, 146 RSK 218 (cf. Sem i. 43) Nöl.c., yet against this 𝔊 Ιεους [Ieous] (i.e. ع [ʿ]; not Ιαγους [Iagous], غ [gh]), and יְ (not יָ), LagM ii. 77; BN 133 BuhlEdom. 48 f.);—",,
863,יַעֲזִיָּ֫הוּ,1,masculine,,"Οζεια [Ozeia](ς [s]), Levite name, perhaps for עֻזִּיָּהוּ GrayProp. N. 291.",I Chronicles 24:26; I Chronicles 24:27,
