rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
817,R' Yitzḥak ben Elyashiv,2,0.0047,,,,,,,none,0,,Rebbi Isaac ben Elyashiv
818,R' Avinna,2,0.0047,R' Avina,16,0.0226,,,,fuzzy_edit,45,"lev=1 key=""avinna""→""avina""",Rebbi Avinna
819,R' Parnakh,2,0.0047,,,,,,,none,0,,Rebbi Parnakh
820,Yehudah bar Naḥman,2,0.0047,,,,,,,none,0,,Jehudah bar Naḥman
821,R' Yehoshua ben Ḥanania,2,0.0047,,,,,,,none,0,,Rebbi Joshua ben Ḥanania
822,Rav Qatina,2,0.0047,R' Avina,16,0.0226,,,,fuzzy_edit,30,"lev=2 key=""qatina""→""avina""",Rav Qatina
823,Rav Avun,2,0.0047,R' Avin,78,0.1100,,,,fuzzy_edit,45,"lev=1 key=""avun""→""avin""",Rav Avun
824,R' Elazar ben Shamua,2,0.0047,,,,,,,none,0,,Rebbi Eleazar ben Shamua
825,R' Ḥanania the son of R' Abbahu,2,0.0047,,,,,,,none,0,,Rebbi Ḥanania the son of Rebbi Abbahu
826,R' Yehudah from Kappadokia,2,0.0047,,,,,,,none,0,,Rebbi Judah from Kappadokia
827,R' Shimon ben Laqisch,2,0.0047,,,,,,,none,0,,Rebbi Simeon ben Laqisch
828,R' Shila from Kefar,2,0.0047,,,,,,,none,0,,Rebbi Shila from Kefar
829,R' Tanḥum from Edrei,2,0.0047,,,,,,,none,0,,Rebbi Tanḥum from Edrei
830,R' Ḥuna of Sepphoris,2,0.0047,,,,,,,none,0,,Rebbi Ḥuna of Sepphoris
831,R' Ḥalafta,2,0.0047,,,,,,,none,0,,Rebbi Ḥalafta
832,R' Shmuel bar Ina,2,0.0047,,,,,,,none,0,,Rebbi Samuel bar Ina
833,R' Yehoshua ben Yair,2,0.0047,,,,,,,none,0,,Rebbi Joshua ben Yair
834,R' Naftali,2,0.0047,,,,,,,none,0,,Rebbi Naftali
835,R' Ephes the Southerner,2,0.0047,,,,,,,none,0,,Rebbi Ephes the Southerner
836,Yonadav ben Rekhav,2,0.0047,,,,,,,none,0,,Yonadav ben Rekhav
837,R' Elazar from Merom,2,0.0047,,,,,,,none,0,,Rebbi Eleazar from Merom
838,R' Philippos ben Protos,2,0.0047,,,,,,,none,0,,Rebbi Philippos ben Protos
839,Rav Ḥisday,2,0.0047,Rav Ḥisda,1126,1.5884,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%97%D7%A1%D7%93%D7%90,רב חסדא,Q1391057,fuzzy_edit,45,"lev=1 key=""hisday""→""hisda""",Rav Ḥisday
840,R' Ada bar Shimon,2,0.0047,,,,,,,none,0,,Rebbi Ada bar Simeon
841,King Ptolemy,2,0.0047,,,,,,,none,0,,King Ptolemy
842,Yose bar Menashia,2,0.0047,,,,,,,none,0,,Yose bar Menashia
843,Ḥanania bar Šelemiah,2,0.0047,,,,,,,none,0,,Ḥanania bar Šelemiah
844,R' Shimon ben Yosina,2,0.0047,,,,,,,none,0,,Rebbi Simeon ben Yosina
845,R' Josias,2,0.0047,Onias,20,0.0282,,,,fuzzy_edit,30,"lev=2 key=""josias""→""onias""",Rebbi Josias
846,Yehudah bar Safra,2,0.0047,,,,,,,none,0,,Jehudah bar Safra
847,R' Jabes,2,0.0047,,,,,,,none,0,,Rebbi Jabes
848,R' Yosef,2,0.0047,Rav Yosef,1128,1.5912,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%99%D7%95%D7%A1%D7%A3,רב יוסף,Q359768,exact,100,,Rebbi Yosef
849,Elisha ben Abuya,2,0.0047,,,,,,,none,0,,Elisha ben Abuya
850,Yose ben Yoezer,2,0.0047,,,,,,,none,0,,Yose ben Yoezer
851,Yose ben Yoḥanan,2,0.0047,,,,,,,none,0,,Yose ben Joḥanan
852,The son of Ma`yan,2,0.0047,,,,,,,none,0,,The son of Ma`yan
853,the son of Ma`yan,2,0.0047,,,,,,,none,0,,the son of Ma`yan
854,R' Banaiah,2,0.0047,,,,,,,none,0,,Rebbi Banaiah
855,R' Yose bar Petrus,2,0.0047,,,,,,,none,0,,Rebbi Yose bar Petrus
856,R' Binyamin bar Gidal,2,0.0047,,,,,,,none,0,,Rebbi Benjamin bar Gidal
857,R' Ḥanina from Sepphoris,2,0.0047,,,,,,,none,0,,Rebbi Ḥanina from Sepphoris
858,R' Ḥanina ben Beroqa,2,0.0047,,,,,,,none,0,,Rebbi Ḥanina ben Beroqa
859,Rav Bebai,2,0.0047,,,,,,,none,0,,Rav Bebai
860,R' Ḥalafta from Haifa,2,0.0047,,,,,,,none,0,,Rebbi Ḥalaphta from Haifa
861,R' Ḥizqyah,2,0.0047,,,,,,,none,0,,Rebbi Ḥizqyah
862,R' Abba bar Yirmeyah,2,0.0047,,,,,,,none,0,,Rebbi Abba bar Jeremiah
863,R' Shimon ben Azai,2,0.0047,,,,,,,none,0,,Rebbi Simeon ben Azai
864,R' Zera,2,0.0047,R' Zeira,668,0.9423,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%96%D7%99%D7%A8%D7%90,רבי זירא,Q7296294,fuzzy_edit,45,"lev=1 key=""zera""→""zeira""",Rebbi Zera
865,R' Ya'akov from Gebal,2,0.0047,,,,,,,none,0,,Rebbi Jacob from Gebal
866,R' Shmuel ben R' Yose ben R' Abun,2,0.0047,,,,,,,none,0,,Rebbi Samuel ben Rebbi Yose ben Rebbi Abun
867,Pashḥur ben Immer,2,0.0047,,,,,,,none,0,,Pashḥur ben Immer
868,R' Yose the Sidonian,2,0.0047,,,,,,,none,0,,Rebbi Yose the Sidonian
869,"R' Ḥananiah, the son of R' Hillel",2,0.0047,,,,,,,none,0,,"Rebbi Ḥananiah, the son of Rebbi Hillel"
870,R' Zevidah,2,0.0047,Rav Zevid,144,0.2031,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%96%D7%91%D7%99%D7%93_(%D7%94%D7%A9%D7%A0%D7%99),רב זביד (השני),Q7296295,fuzzy_edit,30,"lev=2 key=""zevidah""→""zevid""",Rebbi Zevidah
871,Gidul bar Miniamin,2,0.0047,,,,,,,none,0,,Gidul bar Miniamin
872,Yehudah ben Baba,2,0.0047,,,,,,,none,0,,Jehudah ben Baba
873,R' Naḥman ben Ya'akov,2,0.0047,,,,,,,none,0,,Rebbi Naḥman ben Jacob
874,Rav Ḥama,2,0.0047,Rav Ḥama,25,0.0353,,,,exact,100,,Rav Ḥama
875,R' Yehudah ben Ḥananiah,2,0.0047,,,,,,,none,0,,Rebbi Jehudah ben Ḥananiah
876,R' Radifa,2,0.0047,Ravina,756,1.0665,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%D7%A0%D7%90,רבינא,Q1850885,fuzzy_edit,30,"lev=2 key=""radifa""→""ravina""",Rebbi Radifa
877,R' Ḥanina ben Akiva,2,0.0047,,,,,,,none,0,,Rebbi Ḥanina ben Aqiba
878,Yose ben Yo‘ezer from Tzereda,2,0.0047,,,,,,,none,0,,Yose ben Yo‘ezer from Ṣereda
879,R' Levi bar Ḥaita,2,0.0047,,,,,,,none,0,,Rebbi Levi bar Ḥaita
880,Bar Tapqan,2,0.0047,,,,,,,none,0,,Bar Tapqan
881,Rav Mattaniah,2,0.0047,Rav Mattana,108,0.1524,,,,fuzzy_edit,30,"lev=2 key=""mattaniah""→""mattana""",Rav Mattaniah
882,R' Reuben,2,0.0047,,,,,,,none,0,,Rebbi Reuben
883,Pappos ben Yehudah,2,0.0047,,,,,,,none,0,,Pappos ben Jehudah
884,Ben Barakhel,2,0.0047,,,,,,,none,0,,Ben Barakhel
885,Yose ben Yoezer from Tzereda,2,0.0047,,,,,,,none,0,,Yose ben Yoezer from Ṣereda
886,Yosef ben Yoḥanan from Jerusalem,2,0.0047,,,,,,,none,0,,Joseph ben Joḥanan from Jerusalem
887,Abba bar Rav Yirmeyah,2,0.0047,,,,,,,none,0,,Abba bar Rav Jeremiah
888,the house Gadia,2,0.0047,,,,,,,none,0,,the house Gadia
889,Yonatan ben Uzziel,2,0.0047,,,,,,,none,0,,Jonathan ben Uzziel
890,Bar Piqa,2,0.0047,,,,,,,none,0,,Bar Piqa
891,R' Nahorai,2,0.0047,R' Nehorai,23,0.0324,,,,fuzzy_edit,45,"lev=1 key=""nahorai""→""nehorai""",Rebbi Nahorai
892,R' Mamal,2,0.0047,,,,,,,none,0,,Rebbi Mamal
893,R' Abba the son of R' Ḥiyya,2,0.0047,"R' Abba, son of R' Ḥiyya bar Abba",16,0.0226,,,,token_subset,94,"key=""abba son of hiyya"" ⊆ bavli=""abba son of hiyya ben abba""",Rebbi Abba the son of Rebbi Ḥiyya
894,R' Abba bar Hamnuna,2,0.0047,,,,,,,none,0,,Rebbi Abba bar Hamnuna
895,Shaul ben Barukh,2,0.0047,,,,,,,none,0,,Shaul ben Barukh
896,R' Yossi,2,0.0047,,,,,,,none,0,,Rebbi Yossi
