rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
1180,R' Ya'akov ben Sisin,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Sisin
1181,Ḥananiah the son of R' Yasa,1,0.0023,,,,,,,none,0,,Ḥananiah the son of Rebbi Yasa
1182,Issy ben Aqabiah,1,0.0023,,,,,,,none,0,,Issy ben Aqabiah
1183,Ulla ben R' Yishmael,1,0.0023,,,,,,,none,0,,Ulla ben Rebbi Ismael
1184,R' Ya'akov ben Idi,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Idi
1185,R' Ulla ben R' Yishmael,1,0.0023,,,,,,,none,0,,Rebbi Ulla ben Rebbi Ismael
1186,Huna bar Ḥinena,1,0.0023,,,,,,,none,0,,Huna bar Ḥinena
1187,Rav Taḥlifa bar Immi,1,0.0023,,,,,,,none,0,,Rav Taḥlifa bar Immi
1188,R' Ḥanina bar Papa,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina bar Papa
1189,Menaḥem ben Maximus,1,0.0023,,,,,,,none,0,,Menaḥem ben Maximus
1190,Ben Vivian,1,0.0023,,,,,,,none,0,,Ben Vivian
1191,R' Yitzḥak ben Eliashiv,1,0.0023,,,,,,,none,0,,Rebbi Isaac ben Eliashiv
1192,Ḥanina ben Haḵiniah,1,0.0023,,,,,,,none,0,,Ḥanina ben Haḵiniah
1193,R' Elazar ben Mathia,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Mathia
1194,R' Yose ben Hameshullam,1,0.0023,R' Yosei ben HaMeshullam,22,0.0310,,,,exact,100,,Rebbi Yose ben Hameshullam
1195,R' Shimon ben Menasiah,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Menasiah
1196,Abba Ḥilfai,1,0.0023,,,,,,,none,0,,Abba Ḥilfai
1197,R' Yudan bar Gadya,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Gadya
1198,R' Yose ben R' Shimon,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Rebbi Simon
1199,R' Inaya bar Sisai,1,0.0023,,,,,,,none,0,,Rebbi Inaya bar Sisai
1200,R' Abun bar Kohen,1,0.0023,,,,,,,none,0,,Rebbi Abun bar Cohen
1201,R' Binjamin bar Gidul,1,0.0023,,,,,,,none,0,,Rebbi Binjamin bar Gidul
1202,R' Huna bar Aḥa,1,0.0023,,,,,,,none,0,,Rebbi Huna bar Aḥa
1203,R' Alexandros,1,0.0023,R' Alexandri,16,0.0226,,,,fuzzy_edit,30,"lev=2 key=""alexandros""→""alexandri""",Rebbi Alexandros
1204,Mar Zutra,1,0.0023,Mar Zutra,172,0.2426,https://he.wikipedia.org/wiki/%D7%9E%D7%A8_%D7%96%D7%95%D7%98%D7%A8%D7%90,מר זוטרא,Q1892187,exact,100,,Mar Zuṭra
1205,Yehudah ben Patora,1,0.0023,,,,,,,none,0,,Judah ben Patora
1206,ben Zakkai,1,0.0023,,,,,,,none,0,,ben Zakkai
1207,bar Ḥiyya,1,0.0023,,,,,,,none,0,,bar Ḥiyya
1208,R' Hillel ben Vales,1,0.0023,,,,,,,none,0,,Rebbi Hillel ben Vales
1209,R' Shmuel ben Martha,1,0.0023,,,,,,,none,0,,Rebbi Samuel ben Martha
1210,R' Ḥananiah ben Agul,1,0.0023,,,,,,,none,0,,Rebbi Ḥananiah ben Agul
1211,Bar Lolita,1,0.0023,,,,,,,none,0,,Bar Lolita
1212,R' Ya'akov from Jabul,1,0.0023,,,,,,,none,0,,Rebbi Jacob from Jabul
1213,R' Shmuel from Cappadocia,1,0.0023,,,,,,,none,0,,Rebbi Samuel from Cappadocia
1214,R' Ḥiyya bar Abun,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Abun
1215,R' Yose ben R' Nahorai,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Rebbi Nahorai
1216,Rabban Gamliel the son of R',1,0.0023,,,,,,,none,0,,Rabban Gamliel the son of Rebbi
1217,Issi ben Aqabiah,1,0.0023,,,,,,,none,0,,Issi ben Aqabiah
1218,R' Matthew,1,0.0023,,,,,,,none,0,,Rebbi Matthew
1219,R' Shimon ben Jotzadaq,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Joẓadaq
1220,R' Yitzḥak bar Ḥaqola,1,0.0023,,,,,,,none,0,,Rebbi Isaac bar Ḥaqola
1221,R' Tryphon,1,0.0023,,,,,,,none,0,,Rebbi Tryphon
1222,R' Yudan bar Ḥanin,1,0.0023,,,,,,,none,0,,Rebbi Yudan bar Ḥanin
1223,R' Zavida,1,0.0023,R' Avina,16,0.0226,,,,fuzzy_edit,30,"lev=2 key=""zavida""→""avina""",Rebbi Zavida
1224,R' Hanania,1,0.0023,R' Ḥanina,392,0.5530,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%97%D7%A0%D7%99%D7%A0%D7%90_%D7%91%D7%A8_%D7%97%D7%9E%D7%90,רבי חנינא בר חמא,Q1062209,exact,100,,Rebbi Hanania
1225,the brother of Rav Berekhia,1,0.0023,,,,,,,none,0,,the brother of Rav Berekhia
1226,R' Curius,1,0.0023,,,,,,,none,0,,Rebbi Curius
1227,the son of Rav Naḥman,1,0.0023,,,,,,,none,0,,the son of Rav Naḥman
1228,R' Avun,1,0.0023,R' Avin,78,0.1100,,,,fuzzy_edit,45,"lev=1 key=""avun""→""avin""",Rebbi Avun
1229,R' Aḥa ben Ya'akov,1,0.0023,,,,,,,none,0,,Rebbi Aḥa ben Jacob
1230,R' Ḥanaiah ben R' Hillel,1,0.0023,,,,,,,none,0,,Rebbi Ḥanaiah ben Rebbi Hillel
1231,Kahana bar Yirmeyah,1,0.0023,,,,,,,none,0,,Cahana bar Jeremiah
1232,bar Astor,1,0.0023,,,,,,,none,0,,bar Astor
1233,"R' Abin, the son of R' Tanḥum ben R' Tryphon",1,0.0023,,,,,,,none,0,,"Rebbi Abin, the son of Rebbi Tanḥum ben Rebbi Tryphon"
1234,the grandson of R' Abbahu,1,0.0023,,,,,,,none,0,,the grandson of Rebbi Abbahu
1235,Yehudah bar Ḥiyya,1,0.0023,,,,,,,none,0,,Jehudah bar Ḥiyya
1236,R' Zemina,1,0.0023,R' Zeira,668,0.9423,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%96%D7%99%D7%A8%D7%90,רבי זירא,Q7296294,fuzzy_edit,30,"lev=2 key=""zemina""→""zeira""",Rebbi Zemina
1237,Yehudah ben Titus,1,0.0023,,,,,,,none,0,,Jehudah ben Titus
1238,Rav Mattania,1,0.0023,Rav Mattana,108,0.1524,,,,fuzzy_edit,45,"lev=1 key=""mattania""→""mattana""",Rav Mattania
1239,R' Ḥisda,1,0.0023,Rav Ḥisda,1126,1.5884,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%97%D7%A1%D7%93%D7%90,רב חסדא,Q1391057,exact,100,,Rebbi Ḥisda
1240,Bar Justinus,1,0.0023,,,,,,,none,0,,Bar Justinus
1241,R' Ḥananiah the son of Rav Hoshaya,1,0.0023,,,,,,,none,0,,Rebbi Ḥananiah the son of Rav Hoshaia
1242,R' Derosai,1,0.0023,,,,,,,none,0,,Rebbi Derosai
1243,R' Misha,1,0.0023,,,,,,,none,0,,Rebbi Misha
1244,Yishmael ben Elisha,1,0.0023,,,,,,,none,0,,Ismael ben Elisha
1245,R' Ze'ira bar Abinna,1,0.0023,,,,,,,none,0,,Rebbi Zeˋira bar Abinna
1246,Yosef ben Yoezer from Tzereda,1,0.0023,,,,,,,none,0,,Joseph ben Yoezer from Ṣereda
1247,Shimon ben Šetaḥ,1,0.0023,,,,,,,none,0,,Simeon ben Šetaḥ
1248,R' Krispedai,1,0.0023,,,,,,,none,0,,Rebbi Krispedai
1249,Rav Kahana the son of R' Ḥiyya bar Abba,1,0.0023,"R' Abba, son of R' Ḥiyya bar Abba",16,0.0226,,,,token_subset,95,"key=""kahana son of hiyya ben abba"" ⊆ bavli=""abba son of hiyya ben abba""",Rav Cahana the son of Rebbi Ḥiyya bar Abba
1250,the son of R' Shmuel bar Naḥmani,1,0.0023,,,,,,,none,0,,the son of Rebbi Samuel bar Naḥmani
1251,R' Shimon ben Barqana,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Barqana
1252,R' Bun bar Kahana,1,0.0023,,,,,,,none,0,,Rebbi Bun bar Cahana
1253,R' Shila from Naveh,1,0.0023,,,,,,,none,0,,Rebbi Shila from Naveh
1254,R' Shimon ben R' Tzadoq,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Rebbi Ṣadoq
1255,R' Aḥai bar Ya'akov,1,0.0023,,,,,,,none,0,,Rebbi Aḥai bar Jacob
1256,R' Ayvo bar Nagori,1,0.0023,,,,,,,none,0,,Rebbi Ayvo bar Nagori
1257,R' Yose ben R' Tanḥum from Kefar,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Rebbi Tanḥum from Kefar
1258,the brother of R' Ḥiyya bar Abba,1,0.0023,,,,,,,none,0,,the brother of Rebbi Ḥiyya bar Abba
1259,R' Yose ben Qasarta,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Qasarta
1260,Daniel the son of R' Qatina,1,0.0023,,,,,,,none,0,,Daniel the son of Rebbi Qaṭina
1261,R' Shmuel bar Sisartai,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Sisartai
1262,bar Thaddeus,1,0.0023,,,,,,,none,0,,bar Thaddeus
1263,Bar Qapprara,1,0.0023,,,,,,,none,0,,Bar Qapprara
1264,R' Levontin,1,0.0023,,,,,,,none,0,,Rebbi Levontin
1265,son of R' Ḥiyya bar Abba,1,0.0023,,,,,,,none,0,,son of Rebbi Ḥiyya bar Abba
1266,ben Menassia,1,0.0023,,,,,,,none,0,,ben Menassia
1267,R' Sineon,1,0.0023,,,,,,,none,0,,Rebbi Sineon
1268,R' Aḥa bar Ḥinnena,1,0.0023,,,,,,,none,0,,Rebbi Aḥa bar Ḥinnena
1269,ben Pazi,1,0.0023,,,,,,,none,0,,ben Pazi
1270,R' Pinḥas ben R' Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Phineas ben Rebbi Ḥanina
1271,R' Yoḥanan bar Shila,1,0.0023,,,,,,,none,0,,Rebbi Joḥanan bar Shila
1272,R' Yirmeyah bar Ḥanina,1,0.0023,,,,,,,none,0,,Rebbi Jeremiah bar Ḥanina
1273,Rav Ḥana bar Abba,1,0.0023,,,,,,,none,0,,Rav Ḥana bar Abba
1274,Ben Tzeruya,1,0.0023,,,,,,,none,0,,Ben Ṣeruya
1275,R' Aḥa bar Papa,1,0.0023,,,,,,,none,0,,Rebbi Aḥa bar Papa
1276,R' Yose ben R' Abba,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Rebbi Abba
1277,R' Qiris,1,0.0023,,,,,,,none,0,,Rebbi Qiris
1278,R' Iniani bar Sosai,1,0.0023,,,,,,,none,0,,Rebbi Iniani bar Sosai
1279,R' Hoshea,1,0.0023,R' Hoshaya,24,0.0339,,,,fuzzy_edit,30,"lev=2 key=""hoshea""→""hoshaya""",Rebbi Hoshea
1280,R' Abba bar Rav Naḥman,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Rav Naḥman
1281,Ḥanan bar Immi,1,0.0023,,,,,,,none,0,,Ḥanan bar Immi
1282,R' Aḥa bar Ze'ira,1,0.0023,,,,,,,none,0,,Rebbi Aḥa bar Zeˋira
1283,R' Yirmeyah ben Elazar,1,0.0023,,,,,,,none,0,,Rebbi Jeremiah ben Eleazar
1284,R' Levi bar Ḥayta,1,0.0023,,,,,,,none,0,,Rebbi Levi bar Ḥayta
1285,R' Shimon bar Zavda,1,0.0023,,,,,,,none,0,,Rebbi Simon bar Zavda
1286,R' Ya'akov ben Dasai,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Dasai
1287,R' Ḥanina ben Yaqe,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina ben Yaqe
1288,Rav Kohen,1,0.0023,,,,,,,none,0,,Rav Cohen
1289,R' Menaḥem ben Rabbi Yose,1,0.0023,,,,,,,none,0,,Rebbi Menaḥem ben Rabbi Yose
1290,R' Yitzḥak bar Kahana,1,0.0023,,,,,,,none,0,,Rebbi Isaac bar Cahana
1291,R' Ḥama bar Gorion,1,0.0023,,,,,,,none,0,,Rebbi Ḥama bar Gorion
1292,R' Tanḥum from Bostra,1,0.0023,,,,,,,none,0,,Rebbi Tanḥum from Bostra
1293,R' Banaya,1,0.0023,Ḥananya,63,0.0889,,,,fuzzy_edit,30,"lev=2 key=""banaya""→""hananya""",Rebbi Banaya
1294,R' Abba bar Ḥuna,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Ḥuna
1295,Rav Ḥuna bar Ḥiyya,1,0.0023,Rav Huna bar Ḥiyya,29,0.0409,,,,exact,100,,Rav Ḥuna bar Ḥiyya
1296,Ben Satda,1,0.0023,,,,,,,none,0,,Ben Saṭda
1297,Elazar ben Aḥbai,1,0.0023,,,,,,,none,0,,Eleazar ben Aḥbai
1298,Rav Avidan,1,0.0023,R' Avin,78,0.1100,,,,fuzzy_edit,30,"lev=2 key=""avidan""→""avin""",Rav Avidan
1299,R' Menaḥema,1,0.0023,,,,,,,none,0,,Rebbi Menaḥema
1300,the daughter of Domitianus of Tiberias,1,0.0023,,,,,,,none,0,,the daughter of Domitianus of Tiberias
1301,Jesus ben Pantera,1,0.0023,,,,,,,none,0,,Jesus ben Pantera
1302,R' Ukban,1,0.0023,,,,,,,none,0,,Rebbi Uqban
1303,Bar Marinus,1,0.0023,,,,,,,none,0,,Bar Marinus
1304,Rabbi Shmuel ben Avdimi,1,0.0023,,,,,,,none,0,,Rabbi Samuel ben Eudaimon
1305,Rav Shishaa,1,0.0023,,,,,,,none,0,,Rav Shishaa
1306,R' Ada bar Ahavah,1,0.0023,,,,,,,none,0,,Rebbi Ada bar Ahavah
1307,R' Abbin bar Kahana,1,0.0023,,,,,,,none,0,,Rebbi Abbin bar Cahana
1308,R' Jereniah,1,0.0023,,,,,,,none,0,,Rebbi Jereniah
1309,Ḥananiah bar Shelemia,1,0.0023,,,,,,,none,0,,Ḥananiah bar Shelemia
1310,R' Aybun,1,0.0023,,,,,,,none,0,,Rebbi Aybun
1311,R' Aḥa ben R' Ulla,1,0.0023,,,,,,,none,0,,Rebbi Aḥa ben Rebbi Ulla
1312,R' Yose ben Perora,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Perora
1313,R' Aḥa the Tanna,1,0.0023,,,,,,,none,0,,Rebbi Aḥa the Tanna
1314,R' Yustus bar Shune,1,0.0023,,,,,,,none,0,,Rebbi Justus bar Shune
1315,Yehudah ben Tema,1,0.0023,,,,,,,none,0,,Jehudah ben Tema
1316,R' Yehudah from Anthodriya,1,0.0023,,,,,,,none,0,,Rebbi Judah from Anthodriya
1317,R' Shmuel ben R' Issac,1,0.0023,,,,,,,none,0,,Rebbi Samuel ben Rebbi Issac
1318,R' Yitzḥak of Atosha,1,0.0023,,,,,,,none,0,,Rebbi Isaac of Atosha
1319,R' Elazar the son of R' Yose,1,0.0023,"R' Elazar, son of R' Yosei",22,0.0310,,,,exact,100,,Rebbi Eleazar the son of Rebbi Yose
1320,R' ben R' Abun,1,0.0023,,,,,,,none,0,,Rebbi ben Rebbi Abun
1321,R' Yehudah ben Shalom,1,0.0023,,,,,,,none,0,,Rebbi Jehudah ben Shalom
1322,R' Ya'akov the son of R' Aḥa,1,0.0023,,,,,,,none,0,,Rebbi Jacob the son of Rebbi Aḥa
1323,Issy ben Akiva,1,0.0023,,,,,,,none,0,,Issy ben Aqiba
1324,R' Ḥanania ben Antigonos,1,0.0023,,,,,,,none,0,,Rebbi Ḥanania ben Antigonos
1325,Elisha ben Shafat,1,0.0023,,,,,,,none,0,,Elisha ben Shafaṭ
1326,R' Yasa bar Aḥa,1,0.0023,,,,,,,none,0,,Rebbi Yasa bar Aḥa
1327,Ammi bar Ezechiel,1,0.0023,,,,,,,none,0,,Ammi bar Ezechiel
1328,R' Ḥiyya the son of R' Sabbatai,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya the son of Rebbi Sabbatai
1329,R' Jocob bar Aḥa,1,0.0023,,,,,,,none,0,,Rebbi Jocob bar Aḥa
1330,Rabbi Aḥa,1,0.0023,R' Aḥa,43,0.0607,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%97%D7%90_(%D7%90%D7%9E%D7%95%D7%A8%D7%90),רבי אחא (אמורא),Q1394943,exact,100,,Rabbi Aḥa
1331,R' Aeneas bar Pazi,1,0.0023,,,,,,,none,0,,Rebbi Aeneas bar Pazi
1332,Rabbi Mattaniah,1,0.0023,Rav Mattana,108,0.1524,,,,fuzzy_edit,30,"lev=2 key=""mattaniah""→""mattana""",Rabbi Mattaniah
1333,R' Ḥama bar Yosef,1,0.0023,,,,,,,none,0,,Rebbi Ḥama bar Joseph
1334,R' Boethos,1,0.0023,,,,,,,none,0,,Rebbi Boethos
1335,R' Aḥava bar R' Ze'ira,1,0.0023,,,,,,,none,0,,Rebbi Aḥawa bar Rebbi Ze`ira
1336,Abba bar Ḥuna,1,0.0023,,,,,,,none,0,,Abba bar Ḥuna
1337,Rav Naḥman bar Yehudah,1,0.0023,,,,,,,none,0,,Rav Naḥman bar Jehudah
1338,R' Jehusah,1,0.0023,,,,,,,none,0,,Rebbi Jehusah
1339,Ḥiyya bar Marius,1,0.0023,,,,,,,none,0,,Ḥiyya bar Marius
1340,R' Aḥiyya,1,0.0023,R' Ḥiyya,392,0.5530,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99%20%D7%97%D7%99%D7%99%D7%90,רבי חייא,Q2904193,fuzzy_edit,45,"lev=1 key=""ahiyya""→""hiyya""",Rebbi Aḥiyya
1341,the daughter of Saul,1,0.0023,,,,,,,none,0,,the daughter of Saul
1342,Rabban Aḥa,1,0.0023,R' Aḥa,43,0.0607,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%99_%D7%90%D7%97%D7%90_(%D7%90%D7%9E%D7%95%D7%A8%D7%90),רבי אחא (אמורא),Q1394943,exact,100,,Rabban Aḥa
1343,Yitzḥak ben Elazar,1,0.0023,,,,,,,none,0,,Isaac ben Eleazar
1344,R' Simeion ben Lakish,1,0.0023,,,,,,,none,0,,Rebbi Simeion ben Laqish
1345,R' Shimon ben Nannas,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Nannas
1346,R' Aḥava bar Ze'ira,1,0.0023,,,,,,,none,0,,Rebbi Aḥawa bar Ze`ira
1347,Rabbi Gamliel bar Inyany,1,0.0023,,,,,,,none,0,,Rabbi Gamliel bar Inyany
1348,R' Pinḥas from Yafo,1,0.0023,,,,,,,none,0,,Rebbi Phineas from Yafo
1349,Yose ben Yoˋezer from Sereda,1,0.0023,,,,,,,none,0,,Yose ben Yoˋezer from Sereda
1350,Shimon ben Šetah,1,0.0023,,,,,,,none,0,,Simeon ben Šetah
1351,R' Ḥiyya bar Abba from Tyre,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Abba from Tyre
1352,R' Ḥanina the son of R' Kihai,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina the son of Rebbi Kihai
1353,R' Kirai,1,0.0023,,,,,,,none,0,,Rebbi Kirai
1354,R' Hitta bar Abba,1,0.0023,,,,,,,none,0,,Rebbi Hitta bar Abba
1355,R' Ulla of Caesarea,1,0.0023,,,,,,,none,0,,Rebbi Ulla of Caesarea
1356,R' Elazar bar Sadoq,1,0.0023,,,,,,,none,0,,Rebbi Eleazar bar Sadoq
1357,Rav Yanta,1,0.0023,,,,,,,none,0,,Rav Yanta
1358,R' Yudan ben R' Ḥanin,1,0.0023,,,,,,,none,0,,Rebbi Yudan ben Rebbi Ḥanin
1359,R' Yose ben Saul,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Saul
1360,R' Ya'akov ben R' Sosai,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Rebbi Sosai
1361,the son of Ben,1,0.0023,,,,,,,none,0,,the son of Ben
1362,Ḥanania ben Yehudah,1,0.0023,,,,,,,none,0,,Ḥanania ben Jehudah
1363,R' Pamakh,1,0.0023,,,,,,,none,0,,Rebbi Pamakh
1364,Elazar ben Azaria,1,0.0023,,,,,,,none,0,,Eleazar ben Azaria
1365,R' Sobaya,1,0.0023,,,,,,,none,0,,Rebbi Sobaya
1366,R' Ya'akov bar Dosay,1,0.0023,,,,,,,none,0,,Rebbi Jacob bar Dosay
1367,R' Ada bar Ahawah,1,0.0023,,,,,,,none,0,,Rebbi Ada bar Ahawah
1368,R' Ḥiyyas bar Abba,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyyas bar Abba
1369,Rav Shmuel bar Rav Yitzḥak,1,0.0023,R' Shmuel bar Rav Yitzḥak,20,0.0282,,,,exact,100,,Rav Samuel bar Rav Isaac
1370,bar Hana,1,0.0023,,,,,,,none,0,,bar Hana
1371,R' Ya'akov ben Qorshai,1,0.0023,,,,,,,none,0,,Rebbi Jacob ben Qorshai
1372,R' Eliezer ben R' Sadoq,1,0.0023,,,,,,,none,0,,Rebbi Eliezer ben Rebbi Sadoq
1373,R' Abunah bar Sehora,1,0.0023,,,,,,,none,0,,Rebbi Abunah bar Sehora
1374,R' Inainy bar Sisay,1,0.0023,,,,,,,none,0,,Rebbi Inainy bar Sisay
1375,Ḥanania bar Shilat,1,0.0023,,,,,,,none,0,,Ḥanania bar Shilat
1376,Ben Kukhri,1,0.0023,,,,,,,none,0,,Ben Kukhri
1377,Ben Kovri,1,0.0023,,,,,,,none,0,,Ben Kovri
1378,R' Pinḥas ben R' Ḥananiah,1,0.0023,,,,,,,none,0,,Rebbi Phineas ben Rebbi Ḥananiah
1379,R' Yehoshua the son of R' Neḥemiah,1,0.0023,,,,,,,none,0,,Rebbi Joshua the son of Rebbi Neḥemiah
1380,R' Idi from Ḥutra,1,0.0023,,,,,,,none,0,,Rebbi Idi from Ḥutra
1381,R' Yose ben Qisma,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Qisma
1382,Ben Idi,1,0.0023,,,,,,,none,0,,Ben Idi
1383,Bar Petaiah,1,0.0023,,,,,,,none,0,,Bar Petaiah
1384,Ada bar Ahavah,1,0.0023,,,,,,,none,0,,Ada bar Ahavah
1385,R' Yose ben Pazi,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Pazi
1386,R' Yose ben Bevin,1,0.0023,,,,,,,none,0,,Rebbi Yose ben Bevin
1387,Rav Beva,1,0.0023,,,,,,,none,0,,Rav Beva
1388,Rav Abuha of Iman,1,0.0023,,,,,,,none,0,,Rav Abuha of Iman
1389,R' Onias from Berat,1,0.0023,,,,,,,none,0,,Rebbi Onias from Berat
1390,R' Yitzḥak bar Redifa,1,0.0023,,,,,,,none,0,,Rebbi Isaac bar Redifa
1391,Bar Zemina,1,0.0023,,,,,,,none,0,,Bar Zemina
1392,R' Shmuel bar Rav,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Rav
1393,R' Pappaeus,1,0.0023,,,,,,,none,0,,Rebbi Pappaeus
1394,Yoḥanan ben Pinḥas,1,0.0023,,,,,,,none,0,,Joḥanan ben Phineas
1395,Mathew ben Shmuel,1,0.0023,,,,,,,none,0,,Mathew ben Samuel
1396,Ben Bevai,1,0.0023,,,,,,,none,0,,Ben Bevai
1397,Ben Ḥanikai,1,0.0023,,,,,,,none,0,,Ben Ḥanikai
1398,R' Ḥama the father of Rabbi Oshaia,1,0.0023,,,,,,,none,0,,Rebbi Ḥama the father of Rabbi Oshaia
1399,R' Ḥanania the Second,1,0.0023,,,,,,,none,0,,Rebbi Ḥanania the Second
1400,R' Yehudah bar Ilay,1,0.0023,,,,,,,none,0,,Rebbi Jehudah bar Ilay
1401,R' Elazar ben R' Ḥaggai,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Rebbi Ḥaggai
1402,R' Yudan from Antodria,1,0.0023,,,,,,,none,0,,Rebbi Yudan from Antodria
1403,R' Ba bar Binah,1,0.0023,,,,,,,none,0,,Rebbi Ba bar Binah
1404,R' Ḥiyya bar Yose,1,0.0023,,,,,,,none,0,,Rebbi Ḥiyya bar Yose
1405,ben Torta,1,0.0023,,,,,,,none,0,,ben Torta
1406,R' Gamliel bar Inyani,1,0.0023,,,,,,,none,0,,Rebbi Gamliel bar Inyani
1407,Zacariah ben Qebutal,1,0.0023,,,,,,,none,0,,Zacariah ben Qebutal
1408,R' Ḥiyya ben Yosef,1,0.0023,R' Ḥiyya bar Yosef,27,0.0381,,,,exact,100,,Rebbi Ḥiyya ben Joseph
1409,R' Sadoq,1,0.0023,,,,,,,none,0,,Rebbi Sadoq
1410,Mathatias ben Shmuel,1,0.0023,,,,,,,none,0,,Mathatias ben Samuel
1411,R' Yehoshua bar Abin,1,0.0023,,,,,,,none,0,,Rebbi Joshua bar Abin
1412,R' Anyani bar Sosai,1,0.0023,,,,,,,none,0,,Rebbi Anyani bar Sosai
1413,R' Yishmael ben Phiabi,1,0.0023,,,,,,,none,0,,Rebbi Ismael ben Phiabi
1414,R' Elazar ben Hartom,1,0.0023,,,,,,,none,0,,Rebbi Eleazar ben Hartom
1415,R' Iniany bar Sosay,1,0.0023,,,,,,,none,0,,Rebbi Iniany bar Sosay
1416,R' Shimon ben Carsana,1,0.0023,,,,,,,none,0,,Rebbi Simeon ben Carsana
1417,R' Patroki,1,0.0023,,,,,,,none,0,,Rebbi Patroki
1418,the brother of R' Drosa,1,0.0023,,,,,,,none,0,,the brother of Rebbi Drosa
1419,Ḥinena bar Yitzḥak,1,0.0023,,,,,,,none,0,,Ḥinena bar Isaac
1420,R' Ḥananiah ben Tradion,1,0.0023,,,,,,,none,0,,Rebbi Ḥananiah ben Tradion
1421,Ben Qimḥit,1,0.0023,,,,,,,none,0,,Ben Qimḥit
1422,R' Shmuel bar Ḥananiah,1,0.0023,,,,,,,none,0,,Rebbi Samuel bar Ḥananiah
1423,Rabban Yohanan ben Zakkai,1,0.0023,Yohanan ben Zakkai,178,0.2511,https://he.wikipedia.org/wiki/%D7%A8%D7%91%D7%9F_%D7%99%D7%95%D7%97%D7%A0%D7%9F_%D7%91%D7%9F_%D7%96%D7%9B%D7%90%D7%99,רבן יוחנן בן זכאי,Q733660,exact,100,,Rabban Johanan ben Zakkai
1424,R' Yuda bar Pazi,1,0.0023,,,,,,,none,0,,Rebbi Yuda bar Pazi
1425,R' Yonatan of Bet,1,0.0023,,,,,,,none,0,,Rebbi Jonathan of Bet
1426,R' Zeˋurah bar Ḥama,1,0.0023,,,,,,,none,0,,Rebbi Zeˋurah bar Ḥama
1427,R' Yose bar Halaphta,1,0.0023,,,,,,,none,0,,Rebbi Yose bar Halaphta
1428,Ben Avatiah,1,0.0023,,,,,,,none,0,,Ben Avatiah
1429,R' Levi from Sokho,1,0.0023,,,,,,,none,0,,Rebbi Levi from Sokho
1430,R' Abba bar Binah,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Binah
1431,R' Yose ben Ḥaninah,1,0.0023,R' Yosei bar Ḥanina,92,0.1298,,,,exact,100,,Rebbi Yose ben Ḥaninah
1432,the father of R' Oshaia,1,0.0023,,,,,,,none,0,,the father of Rebbi Oshaia
1433,R' Ya'akov bar Abbaya,1,0.0023,,,,,,,none,0,,Rebbi Jacob bar Abbaya
1434,R' Ya'akov bar Yafliti,1,0.0023,,,,,,,none,0,,Rebbi Jacob bar Yafliti
