rank,name,normalized_name,count,example_1,example_2,example_3
885,Joseph ben Joḥanan from Jerusalem,Yosef ben Yoḥanan from Jerusalem,2,Sotah 9:10.3,,
886,Abba bar Rav Jeremiah,Abba bar Rav Yirmeyah,2,Sotah 9:12.2,Gittin 8:2.3,
887,the house Gadia,the house Gadia,2,Sotah 9:13.4,Sotah 9:16.4,
888,Jonathan ben Uzziel,Yonatan ben Uzziel,2,Nedarim 5:6.3,Nedarim 5:6.4,
889,King Diocletian,King Diocletian,2,Nazir 7:1.13,Avodah Zarah 5:4.6,
890,Bar Piqa,Bar Piqa,2,Nazir 9:2.10,,
891,Rebbi Nahorai,R' Nahorai,2,Nazir 9:6.1,,
892,Rebbi Mamal,R' Mamal,2,Gittin 1:5.7,Kiddushin 3:4.7,
893,Rebbi Abba the son of Rebbi Ḥiyya,R' Abba the son of R' Ḥiyya,2,Gittin 3:5.3,Bava Batra 8:1.4,
894,Rebbi Abba bar Hamnuna,R' Abba bar Hamnuna,2,Gittin 8:3.9,Gittin 9:3.6,
895,Shaul ben Barukh,Shaul ben Barukh,2,Gittin 9:7.2,,
896,Rebbi Yossi,R' Yossi,2,Kiddushin 3:10.2,Horayot 1:1.3,
897,Rebbi Isaac bar Tevelai,R' Yitzḥak bar Tevelai,2,Bava Kamma 2:5.3,,
898,R. Isaac,R' Yitzḥak,2,Bava Kamma 5:4.3,Bava Kamma 6:3.2,
899,Rebbi Samuel ben Sosartai,R' Shmuel ben Sosartai,2,Bava Metzia 4:2.5,Sanhedrin 7:1.6,
900,Rebbi Bina,R' Bina,2,Bava Metzia 6:1.3,Sanhedrin 3:5.10,
901,Rebbi Joḥanan ben Matthew,R' Yoḥanan ben Matthew,2,Bava Metzia 7:1.1,Bava Metzia 7:1.4,
902,Rav Naḥman bar Rav Isaac,Rav Naḥman bar Rav Yitzḥak,2,Bava Batra 3:3.4,Niddah 2:5.2,
903,Jehudah ben Pappos,Yehudah ben Pappos,2,Bava Batra 5:1.6,,
904,Rebbi Mallukh,R' Mallukh,2,Bava Batra 8:1.4,,
905,Yose ben Simeon,Yose ben Shimon,2,Bava Batra 10:7.1,,
906,Rebbi Nehemiah the Tanna,R' Nehemiah the Tanna,2,Sanhedrin 1:4.7,Sanhedrin 1:4.9,
907,Rebbi Nissai,R' Nissai,2,Sanhedrin 3:5.11,Sanhedrin 3:9.23,
908,Rebbi Eumachos,R' Eumachos,2,Sanhedrin 3:12.3,,
909,Joshua ben Ḥanania,Yehoshua ben Ḥanania,2,Sanhedrin 7:13.3,Sanhedrin 7:13.4,
910,Ben Bagbag,Ben Bagbag,2,Sanhedrin 8:3.2,Sanhedrin 11:2.2,
911,Rebbi Samuel ben Sosarta,R' Shmuel ben Sosarta,2,Sanhedrin 8:3.4,Sanhedrin 11:2.4,
912,Ḥanania ben Shila,Ḥanania ben Shila,2,Sanhedrin 8:8.3,,
913,Joshua ben Nun,Yehoshua ben Nun,2,Sanhedrin 10:2.5,Sanhedrin 10:8.3,
914,Jonah ben Amitai,Yonah ben Amitai,2,Sanhedrin 11:5.3,,
915,Rebbi Ṃeïr,R' Meir,2,Makkot 1:2.1,,
916,Rebbi Yudan the Cappadocian,R' Yudan the Cappadocian,2,Shevuot 4:2.4,Shevuot 5:2.4,
917,Eliezer ben Hyrcanos,Eliezer ben Hyrcanos,2,Avodah Zarah 3:1.12,Horayot 3:5.14,
918,Rebbi Ḥanina bar Pappa,R' Ḥanina bar Pappa,2,Avodah Zarah 4:10.4,,
